model,inf_time,input_size
vit_large_patch16_224_in21k,166.20675563812256,224
vit_large_patch16_384,536.554365158081,384
vit_large_patch32_224,46.91723346710205,224
vit_large_patch32_224_in21k,46.64144992828369,224
vit_large_patch32_384,121.28849506378174,384
vit_large_r50_s32_224,65.3548812866211,224
vit_large_r50_s32_224_in21k,65.16228199005127,224
vit_large_r50_s32_384,166.38845920562744,384
vit_small_patch16_224,16.22368335723877,224
vit_small_patch16_224_in21k,16.299800872802734,224
vit_small_patch16_384,58.102684020996094,384
vit_small_patch32_224,5.506563186645508,224
vit_small_patch32_224_in21k,5.416197776794434,224
vit_small_patch32_384,12.659416198730469,384
vit_small_r26_s32_224,16.67694091796875,224
vit_small_r26_s32_224_in21k,16.85856342315674,224
vit_small_r26_s32_384,40.75961112976074,384
vit_small_resnet26d_224,18.590645790100098,224
vit_small_resnet50d_s16_224,40.714898109436035,224
vit_tiny_patch16_224,6.693077087402344,224
vit_tiny_patch16_224_in21k,6.662921905517578,224
vit_tiny_patch16_384,24.322762489318848,384
vit_tiny_r_s16_p8_224,5.317521095275879,224
vit_tiny_r_s16_p8_224_in21k,5.367746353149414,224
vit_tiny_r_s16_p8_384,8.42928409576416,384
vovnet39a,16.976866722106934,224
vovnet57a,22.91922092437744,224
wide_resnet50_2,31.28000736236572,224
wide_resnet101_2,59.46725368499756,224
xception,31.440114974975586,299
xception41,38.83051872253418,299
xception65,56.576924324035645,299
xception71,75.1749038696289,299
